lat,lon,elevation,rainfall,flood_probability,flood_prediction
29.551599999999997,-82.42479999999999,19.0,0,0.375,0
29.551599999999997,-82.3748,21.0,0,0.375,0
29.551599999999997,-82.3248,26.0,0,0.375,0
29.551599999999997,-82.2748,23.0,0,0.375,0
29.551599999999997,-82.2248,37.0,0,0.375,0
29.601599999999998,-82.42479999999999,26.0,0,0.375,0
29.601599999999998,-82.3748,26.0,0,0.375,0
29.601599999999998,-82.3248,19.0,0,0.375,0
29.601599999999998,-82.2748,25.0,0,0.375,0
29.601599999999998,-82.2248,25.0,0,0.375,0
29.6516,-82.42479999999999,29.0,0,0.375,0
29.6516,-82.3748,20.0,0,0.375,0
29.6516,-82.3248,37.0,0,0.375,0
29.6516,-82.2748,30.0,0,0.375,0
29.6516,-82.2248,22.0,0,0.375,0
29.7016,-82.42479999999999,41.0,0,0.375,0
29.7016,-82.3748,46.0,0,0.375,0
29.7016,-82.3248,50.0,0,0.375,0
29.7016,-82.2748,41.0,0,0.375,0
29.7016,-82.2248,23.0,0,0.375,0
29.7516,-82.42479999999999,47.0,0,0.375,0
29.7516,-82.3748,57.0,0,0.375,0
29.7516,-82.3248,49.0,0,0.375,0
29.7516,-82.2748,49.0,0,0.375,0
29.7516,-82.2248,45.0,0,0.375,0
